Date,Description,Amount,Transaction Type,Category,Account Name
2018-01-01,Amazon,11.11,debit,shopping,Platinum Card
2018-01-02,Mortgage Payment,1247.44,debit,mortgage & rent,Checking
2018-01-02,Thai Restaurant,24.22,debit,restaurants,Silver Card
2018-01-03,Credit Card Payment,2298.09,credit,credit card payment,Platinum Card
2018-01-04,Netflix,11.76,debit,movies & dvds,Platinum Card
2018-01-05,American Tavern,25.85,debit,restaurants,Silver Card
2018-01-06,Hardware Store,18.45,debit,home improvement,Silver Card
2018-01-08,Gas Company,45.0,debit,utilities,Checking
2018-01-08,Hardware Store,15.38,debit,home improvement,Silver Card
2018-01-09,Spotify,10.69,debit,music,Platinum Card
2018-01-10,Phone Company,89.46,debit,mobile phone,Checking
2018-01-11,Shell,34.87,debit,gas & fuel,Platinum Card
2018-01-11,Grocery Store,43.54,debit,groceries,Platinum Card
2018-01-12,Biweekly Paycheck,2000.0,credit,paycheck,Checking
2018-01-13,Pizza Place,32.91,debit,fast food,Platinum Card
2018-01-13,Amazon,39.05,debit,shopping,Platinum Card
2018-01-15,Grocery Store,44.19,debit,groceries,Silver Card
2018-01-15,American Tavern,64.11,debit,restaurants,Silver Card
2018-01-16,City Water Charges,35.0,debit,utilities,Checking
2018-01-16,Power Company,60.0,debit,utilities,Checking
2018-01-19,Biweekly Paycheck,2000.0,credit,paycheck,Checking
2018-01-20,Amazon,50.21,debit,shopping,Platinum Card
2018-01-22,Credit Card Payment,554.99,credit,credit card payment,Platinum Card
2018-01-22,Credit Card Payment,309.81,credit,credit card payment,Silver Card
2018-01-22,Credit Card Payment,554.99,debit,credit card payment,Checking
2018-01-22,Hardware Store,17.38,debit,home improvement,Silver Card
2018-01-23,Credit Card Payment,309.81,debit,credit card payment,Checking
2018-01-24,Starbucks,3.0,debit,coffee shops,Platinum Card
2018-01-25,Internet Service Provider,69.99,debit,internet,Checking
2018-01-29,Shell,30.42,debit,gas & fuel,Silver Card
2018-01-29,Thai Restaurant,25.0,debit,restaurants,Silver Card
2018-01-29,Brunch Restaurant,17.62,debit,restaurants,Platinum Card
2018-02-01,Grocery Store,27.79,debit,groceries,Platinum Card
2018-02-01,Amazon,11.11,debit,shopping,Platinum Card
2018-02-02,Mortgage Payment,1247.44,debit,mortgage & rent,Checking
2018-02-02,Biweekly Paycheck,2000.0,credit,paycheck,Checking
2018-02-03,Japanese Restaurant,57.02,debit,restaurants,Platinum Card
2018-02-04,Netflix,11.76,debit,movies & dvds,Platinum Card
2018-02-05,Credit Card Payment,145.14,credit,credit card payment,Platinum Card
2018-02-06,Credit Card Payment,154.13,credit,credit card payment,Silver Card
2018-02-07,Credit Card Payment,154.13,debit,credit card payment,Checking
2018-02-07,Gas Company,65.0,debit,utilities,Checking
2018-02-09,Barbershop,30.0,debit,haircut,Platinum Card
2018-02-09,Spotify,10.69,debit,music,Platinum Card
2018-02-10,Bojangles,10.66,debit,fast food,Platinum Card
2018-02-11,Fancy Restaurant,106.8,debit,restaurants,Platinum Card
2018-02-12,Shell,36.47,debit,gas & fuel,Silver Card
2018-02-12,Phone Company,89.52,debit,mobile phone,Checking
2018-02-14,Brewing Company,14.0,debit,alcohol & bars,Silver Card
2018-02-15,American Tavern,10.0,debit,restaurants,Platinum Card
2018-02-15,Power Company,60.0,debit,utilities,Checking
2018-02-16,Biweekly Paycheck,2000.0,credit,paycheck,Checking
2018-02-16,Brunch Restaurant,8.0,debit,restaurants,Silver Card
2018-02-16,City Water Charges,35.0,debit,utilities,Checking
2018-02-20,Grocery Store,35.95,debit,groceries,Silver Card
2018-02-20,Mexican Restaurant,23.51,debit,restaurants,Silver Card
2018-02-21,Starbucks,2.0,debit,coffee shops,Platinum Card
2018-02-22,Starbucks,4.0,debit,coffee shops,Silver Card
2018-02-26,Credit Card Payment,765.37,credit,credit card payment,Platinum Card
2018-02-26,Credit Card Payment,156.11,credit,credit card payment,Silver Card
2018-02-26,Credit Card Payment,765.37,debit,credit card payment,Checking
2018-02-26,Internet Service Provider,74.99,debit,internet,Checking
2018-02-26,American Tavern,85.52,debit,restaurants,Silver Card
2018-02-26,Gas Station,32.21,debit,gas & fuel,Silver Card
2018-02-27,Credit Card Payment,156.11,debit,credit card payment,Checking
2018-03-01,Grocery Store,32.07,debit,groceries,Silver Card
2018-03-01,Amazon,13.13,debit,shopping,Platinum Card
2018-03-02,Mortgage Payment,1247.44,debit,mortgage & rent,Checking
2018-03-02,Biweekly Paycheck,2000.0,credit,paycheck,Checking
2018-03-03,Grocery Store,23.74,debit,groceries,Silver Card
2018-03-04,Grocery Store,10.69,debit,groceries,Platinum Card
2018-03-04,Netflix,11.76,debit,movies & dvds,Platinum Card
2018-03-04,BBQ Restaurant,42.24,debit,restaurants,Platinum Card
2018-03-05,Starbucks,3.0,debit,coffee shops,Platinum Card
2018-03-05,Credit Card Payment,761.59,credit,credit card payment,Silver Card
2018-03-05,Credit Card Payment,761.59,debit,credit card payment,Checking
2018-03-07,Starbucks,3.5,debit,coffee shops,Platinum Card
